Environment Variable NDN_TRAFFIC_LOGFOLDER Not Set.
Using Default Output For Logging.
2015-Mar-26 02:17:25 - Analyzing Traffic Configuration File: NDN_Traffic_Client_000
2015-Mar-26 02:17:25 - Traffic Configuration File Processing Completed

Traffic Pattern Type #1
TrafficPercentage=100, Name=/abcde/fghij/klmno/, NameAppendSequenceNumber=1, MustBeFresh=1

2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=1, LocalID=1, Name=/abcde/fghij/klmno/1
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=2, LocalID=2, Name=/abcde/fghij/klmno/2
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=3, LocalID=3, Name=/abcde/fghij/klmno/3
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=4, LocalID=4, Name=/abcde/fghij/klmno/4
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=5, LocalID=5, Name=/abcde/fghij/klmno/5
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=6, LocalID=6, Name=/abcde/fghij/klmno/6
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=7, LocalID=7, Name=/abcde/fghij/klmno/7
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=8, LocalID=8, Name=/abcde/fghij/klmno/8
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=9, LocalID=9, Name=/abcde/fghij/klmno/9
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=10, LocalID=10, Name=/abcde/fghij/klmno/10
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=11, LocalID=11, Name=/abcde/fghij/klmno/11
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=12, LocalID=12, Name=/abcde/fghij/klmno/12
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=13, LocalID=13, Name=/abcde/fghij/klmno/13
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=14, LocalID=14, Name=/abcde/fghij/klmno/14
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=15, LocalID=15, Name=/abcde/fghij/klmno/15
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=16, LocalID=16, Name=/abcde/fghij/klmno/16
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=17, LocalID=17, Name=/abcde/fghij/klmno/17
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=18, LocalID=18, Name=/abcde/fghij/klmno/18
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=19, LocalID=19, Name=/abcde/fghij/klmno/19
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=20, LocalID=20, Name=/abcde/fghij/klmno/20
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=21, LocalID=21, Name=/abcde/fghij/klmno/21
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=22, LocalID=22, Name=/abcde/fghij/klmno/22
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=23, LocalID=23, Name=/abcde/fghij/klmno/23
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=24, LocalID=24, Name=/abcde/fghij/klmno/24
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=25, LocalID=25, Name=/abcde/fghij/klmno/25
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=26, LocalID=26, Name=/abcde/fghij/klmno/26
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=27, LocalID=27, Name=/abcde/fghij/klmno/27
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=28, LocalID=28, Name=/abcde/fghij/klmno/28
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=29, LocalID=29, Name=/abcde/fghij/klmno/29
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=30, LocalID=30, Name=/abcde/fghij/klmno/30
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=31, LocalID=31, Name=/abcde/fghij/klmno/31
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=32, LocalID=32, Name=/abcde/fghij/klmno/32
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=33, LocalID=33, Name=/abcde/fghij/klmno/33
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=34, LocalID=34, Name=/abcde/fghij/klmno/34
2015-Mar-26 02:17:25 - Sending Interest   - PatternType=1, GlobalID=35, LocalID=35, Name=/abcde/fghij/klmno/35
